timestamp,open,high,low,close,volume
1788238800,103.679078002695,104.487719324395,103.138742928871,104.0336298676553,1391413.4146683523
1788239700,104.0336298676553,104.328981789622,103.218645948946,104.00401189502571,703227.0298583474
1788240600,104.00401189502571,104.299474664406,103.54,104.04011018621925,1254299.4557806116
1788241500,104.04011018621925,104.36184825348,103.72244,104.02624349544185,723251.5531765677
1788242400,104.02624349544185,104.326057321118,103.62826864054,104.252635272051,660451.0278801512
1788243300,104.252635272051,104.459292326944,103.312212380164,103.76808030267416,888681.7016819688
1788244200,103.76808030267416,104.148409060002,103.448922606986,103.80074956412618,650942.0912631372
1788245100,103.80074956412618,104.205200881576,103.336385908459,103.336385908459,637830.2987677304
1788246000,103.336385908459,103.896550786203,103.043195344816,103.786971880689,795253.7126691879
1788246900,103.786971880689,103.863655271543,102.870312657199,103.49937127089711,1123227.380061472
1788247800,103.49937127089711,103.756476245795,102.698660332062,103.06459891963098,1323728.0337423482
1788248700,103.06459891963098,103.379752909985,102.564497654181,102.90528948620442,605766.7510439348
1788249600,102.90528948620442,103.532300889063,102.079280999406,102.33523095480649,2018449.1314032208
1788250500,102.33523095480649,103.051808193915,102.073680532376,102.29593637061201,2361908.1889722496
1788251400,102.29593637061201,102.571806597126,101.600942992219,101.666557691635,2712932.779418414
1788252300,101.666557691635,102.49869994795,101.646951505215,102.12652039239512,1248519.4944706056
1788253200,102.12652039239512,102.434352384416,101.681379716156,101.98501386502545,1338864.5245351326
1788254100,101.98501386502545,102.535769947048,101.567013549128,102.533095596477,838739.1493212123
1788255000,102.533095596477,102.539158392275,101.683085182657,102.04438904036358,478424.5094412783
1788255900,102.04438904036358,102.387498944755,101.675417524744,102.02222074844943,331598.6985117962
1788256800,102.02222074844943,102.364402109294,101.453703523326,102.10769581320227,783404.0241240655
1788257700,102.10769581320227,102.637599506896,101.842242797519,102.637456238211,1056383.0310377441
1788258600,102.637456238211,102.933735255429,102.106879401538,102.413808473328,997219.790899719
1788259500,102.413808473328,102.930658903675,102.151864862541,102.73728720105,692972.1114907253
1788260400,102.73728720105,102.770521214079,102.159467053216,102.192224088228,529359.3862948088
1788261300,102.192224088228,102.643814853511,101.788444004953,102.072764,863212.4263099969
1788262200,102.072764,102.643328475156,101.663683833737,102.39225213829388,1121350.6932067988
1788263100,102.39225213829388,102.849024705165,101.971217936695,102.24068445320003,1385533.8944038362
1788264000,102.24068445320003,102.800605109034,101.980503112396,102.702600252443,1114792.4462664071
